,단어,품사,점수
10717,나오다,V,0
10718,냄새,N,-1
10719,월드,N,0
10720,여행사,N,0
10721,화진,N,0
10722,화구,N,0
10723,안덕면,N,0
10724,조망,N,2
10725,쇠소깍,N,0
10726,아침,N,0
10727,나다,V,0
10728,연동,N,0
10729,나서다,V,0
10730,부처손,N,0
10731,타워,N,0
10732,여장,N,0
10733,부르다,V,0
10734,체코,N,0
10735,전설,N,0
10736,전시,N,0
10737,석굴,N,0
10738,체험,N,0
10739,제외,N,0
10740,소로,N,0
10741,보다,V,0
10742,가다,V,0
10743,외돌개,N,0
10744,노출,N,0
10745,기내,N,0
10746,마다,V,0
10747,모두,N,0
10748,없다,V,-2
10749,자라다,V,0
10750,단순,N,0
10751,원님,N,0
10752,초원,N,0
10753,따르다,V,0
10754,주차장,N,0
10755,심다,V,0
10756,신화,N,0
10757,남서쪽,N,0
10758,다금바리,N,0
10759,중국인,N,0
10760,필요,N,0
10761,식사,N,0
10762,문화재,N,1
10763,천혜,N,0
10764,안치,N,0
10765,탑승객,N,0
10766,분화구,N,0
10767,침략,N,0
10768,발판,N,0
10769,올라가다,V,0
10770,숙다,V,0
10771,식물,N,0
10772,상가,N,0
10773,잡히다,V,0
10774,조면암,N,0
10775,분양,N,0
10776,오토바이,N,0
10777,갈치,N,0
10778,사철쑥,N,0
10779,해안가,N,0
10780,방목,N,0
10781,대정읍,N,0
10782,울이,N,0
10783,대하다,V,0
10784,갈래,N,0
10785,일부,N,0
10786,입장료,N,0
10787,불국사,N,0
10788,명승,N,0
10789,인승,N,0
10790,천장,N,0
10791,지역,N,0
10792,지점,N,0
10793,건조,N,0
10794,가파,N,0
10795,오르다,V,0
10796,같다,V,0
10797,벵에돔,N,0
10798,대구,N,0
10799,지연,N,0
10800,불상,N,0
10801,관광,N,2
10802,형제섬,N,0
10803,돌아오다,V,0
10804,스위트,N,0
10805,국가,N,0
10806,수직,N,0
10807,피사,N,0
10808,떨어지다,V,0
10809,작가,N,0
10810,도로,N,0
10811,내려오다,V,0
10812,안내도,N,0
10813,지정,N,0
10814,입다,V,0
10815,도착,N,0
10816,닦이다,V,0
10817,성하다,V,0
10818,퍼시픽,N,0
10819,부근,N,0
10820,화산,N,0
